201811261,Tie
201811262,Win
20181126,1,Tie
20181126,2,Tie
20181126,3,Lose
20181126,4,Tie
20181126,5,Tie
20181126,6,Win
20181126,7,Lose
20181126,8,Lose
20181126,9,Win
20181126,10,Tie
20181126,11,Lose
20181126,12,Win
20181126,13,Win
20181126,14,Win
20181126,15,Tie
20181126,16,Lose
20181126,17,Lose
20181126,18,Lose
20181126,19,Win
20181126,20,Win
20181126,21,Lose
20181126,22,Win
20181126,23,Win
20181126,24,Lose
20181126,25,Lose
20181126,26,Tie
20181126,27,Win
20181126,28,Lose
20181126,29,Win
20181126,30,Lose
20181126,31,Tie
20181126,32,Lose
20181126,33,Win
20181126,34,Lose
20181126,35,Lose
20181126,36,Win
20181126,37,Lose
20181126,38,Win
20181126,39,Lose
20181126,40,Win
20181126,41,Lose
20181126,42,Win
20181126,43,Lose
20181126,44,Win
20181126,45,Lose
20181126,46,Win
20181126,47,Win
20181126,48,Win
20181126,49,Win
20181126,50,Win
20181126,51,Lose
20181126,52,Win
20181126,53,Win
20181126,54,Lose
20181126,55,Lose
20181126,56,Win
20181126,57,Win
20181126,58,Lose
20181126,59,Lose
20181126,60,Win
20181126,61,Lose
20181126,62,Win
20181126,63,Win
20181126,64,Lose
20181126,65,Win
20181126,66,Lose
20181126,67,Win
20181126,68,Win
20181126,69,Tie
20181126,70,Lose
20181126,71,Lose
20181126,72,Win
20181126,73,Win
20181126,74,Lose
20181126,75,Win
20181126,76,Tie
20181126,77,Lose
20181126,78,Win
20181126,79,Win
20181126,80,Win
20181126,81,Lose
20181126,82,Lose
20181126,83,Lose
20181126,84,Win
20181126,1,Tie
20181126,2,Lose
20181126,3,Lose
20181126,4,Lose
20181126,5,Win
20181126,6,Lose
20181126,7,Tie
20181126,8,Win
20181126,9,Win
20181126,10,Lose
20181126,11,Win
20181126,12,Win
20181126,13,Tie
20181126,14,Tie
20181126,15,Lose
20181126,16,Lose
20181126,17,Lose
20181126,18,Tie
20181126,19,Lose
20181126,1,Tie
20181126,2,Tie
20181126,3,Lose
20181126,4,Lose
20181126,5,Lose
20181126,6,Tie
20181126,7,Lose
20181126,7,Lose
20181126,9,Lose
20181126,10,Win
20181126,11,Win
20181126,12,Lose
20181126,13,Win
20181126,14,Win
20181126,15,Lose
20181126,16,Win
20181126,17,Win
20181126,18,Win
20181126,19,Tie
20181126,20,Tie
20181126,21,Lose
20181126,22,Lose
20181126,23,Lose
20181126,24,Win
20181126,25,Lose
20181126,26,Lose
20181126,27,Lose
20181126,28,Lose
20181126,28,Lose
20181126,30,Tie
20181126,31,Win
20181126,32,Lose
20181126,33,Tie
20181126,34,Lose
20181126,1,Tie
20181126,2,Win
20181126,3,Win
20181126,4,Win
20181126,5,Win
20181126,6,Win
20181126,7,Win
20181126,8,Lose
20181126,9,Win
20181126,10,Lose
20181126,11,Win
20181126,12,Lose
20181126,13,Tie
20181126,14,Lose
20181126,15,Lose
20181126,16,Win
20181126,17,Tie
20181126,18,Lose
20181126,19,Lose
20181126,20,Win
20181126,21,Lose
20181126,22,Win
20181126,23,Lose
20181126,24,Win
20181126,25,Lose
20181126,26,Win
20181126,27,Lose
20181126,28,Tie
20181126,29,Lose
20181126,30,Win
20181126,31,Win
20181126,32,Lose
20181126,33,Win
20181126,34,Lose
20181126,35,Win
20181126,36,Win
20181126,37,Lose
20181126,38,Lose
20181126,39,Win
20181126,40,Win
20181127,1,Tie
